case,n,m,r,threads,version,best,average,worst
2,10,10,1000,3,12,12122,13295,15324
2,10,10,1000,3,13,1759,2860,4144
2,10,10,1000,3,14,878,1183,1795
2,10,10,1000,3,15,736,1038,1819
2,10,10,1000,3,16,848,1063,1552
2,10,10,1000,3,17,733,1186,1831
2,10,10,1000,4,0,262,340,436
2,10,10,1000,4,1,104,161,223
2,10,10,1000,4,2,83,138,176
2,10,10,1000,4,3,13547,15528,17004
2,10,10,1000,4,4,13366,15218,16666
2,10,10,1000,4,5,93,161,194
2,10,10,1000,4,6,13180,15071,16479
2,10,10,1000,4,7,108,188,216
2,10,10,1000,4,8,13502,14645,15512
2,10,10,1000,4,9,14355,15600,16677
2,10,10,1000,4,10,13091,14231,16096
2,10,10,1000,4,11,15180,16143,17772
2,10,10,1000,4,12,12270,14467,17393
2,10,10,1000,4,13,2058,3220,4090
2,10,10,1000,4,14,672,1072,1436
2,10,10,1000,4,15,605,1012,1280
2,10,10,1000,4,16,650,1135,1495
2,10,10,1000,4,17,556,994,1292
2,10,10,1000,5,0,264,353,451
2,10,10,1000,5,1,126,145,156
2,10,10,1000,5,2,114,137,148
2,10,10,1000,5,3,16942,19404,31918
2,10,10,1000,5,4,14529,16739,18351
2,10,10,1000,5,5,93,150,182
2,10,10,1000,5,6,14841,16370,19147
2,10,10,1000,5,7,129,156,184
2,10,10,1000,5,8,16244,17927,19477
2,10,10,1000,5,9,16437,17608,19044
2,10,10,1000,5,10,15928,17135,18448
2,10,10,1000,5,11,15473,16835,18801
2,10,10,1000,5,12,15059,17060,21390
2,10,10,1000,5,13,2808,3408,4055
2,10,10,1000,5,14,799,915,1042
2,10,10,1000,5,15,708,943,1047
2,10,10,1000,5,16,574,861,1020
2,10,10,1000,5,17,666,922,1078
2,10,10,1000,6,0,270,397,443
2,10,10,1000,6,1,138,154,167
2,10,10,1000,6,2,113,121,144
2,10,10,1000,6,3,16212,17514,18473
2,10,10,1000,6,4,14206,15255,16936
2,10,10,1000,6,5,62,114,136
2,10,10,1000,6,6,15031,15643,16278
2,10,10,1000,6,7,81,133,168
2,10,10,1000,6,8,15192,15640,16411
2,10,10,1000,6,9,14959,16236,16772
2,10,10,1000,6,10,14845,16009,18563
2,10,10,1000,6,11,14795,16008,16861
2,10,10,1000,6,12,14540,15376,16142
2,10,10,1000,6,13,3496,3839,4043
2,10,10,1000,6,14,928,982,1064
2,10,10,1000,6,15,781,838,891
2,10,10,1000,6,16,860,944,1035
2,10,10,1000,6,17,835,872,921
2,10,10,1000,7,0,265,388,513
2,10,10,1000,7,1,78,126,152
2,10,10,1000,7,2,92,102,111
2,10,10,1000,7,3,15641,18081,20189
2,10,10,1000,7,4,14181,16261,18905
2,10,10,1000,7,5,93,101,118
2,10,10,1000,7,6,15234,16367,20220
2,10,10,1000,7,7,71,120,139
2,10,10,1000,7,8,14705,16331,19191
2,10,10,1000,7,9,16095,17221,20874
2,10,10,1000,7,10,14927,16492,18444
2,10,10,1000,7,11,16138,17594,22304
2,10,10,1000,7,12,14634,17171,21107
2,10,10,1000,7,13,3904,4054,4313
2,10,10,1000,7,14,506,895,1064
2,10,10,1000,7,15,714,755,787
2,10,10,1000,7,16,475,864,1044
2,10,10,1000,7,17,714,762,792
2,10,10,1000,8,0,428,471,541
2,10,10,1000,8,1,135,180,485
2,10,10,1000,8,2,92,130,334
2,10,10,1000,8,3,20320,54712,150649
2,10,10,1000,8,4,20565,57738,229849
